nomor_registrasi,nama_produk,merk,jenis_kemasan,ukuran_kemasan,produsen,kota_produsen,provinsi_produsen
MD 268331047072,MINUMAN TEH RASA LIANG TEH,TIPTOP,Botol Plastik PET, (330ml),PT INDOSARI SARANA PANGAN ABADI, Kab. Tangerang, Banten
ML 568309306000,Minuman Teh Hijau Rasa Delima,Xing,Kaleng, (695ml),PT CITRA GOURMAND PRIMA, Kota Jakarta Utara, DKI Jakarta
MD 268310059014,Minuman Teh Rasa Apel Blackcurrant,SOSRO - Khusus Ekspor,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310058014,Minuman Teh Rasa Stroberi Anggur Sensasi Dingin,SOSRO - Khusus Ekspor,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 568310057014,Minuman Teh Rasa Blackcurrant,SOSRO - Khusus Ekspor,Kaleng, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313029046,Minuman Teh Ekstrak Mawar,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 566609406060,Minuman Teh Hijau Dengan Aroma Bunga Melati,NARAYA,Kaleng, (300ml),PT INTERFOOD SUKSES JASINDO, Kota Jakarta Pusat, DKI Jakarta
MD 268310024250,Minuman Teh Rasa Madu,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310023250,Minuman Teh Rasa Madu,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310035019,Minuman Teh Hijau Rasa Lemon,C2,Botol Plastik, (360ml),PT URC INDONESIA, Kab. Bekasi, Jawa Barat
MD 268310055014,Minuman Teh Rasa Lemon,SOSRO - Khusus Ekspor,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 568309304000,Minuman Teh Hijau Rasa Ceri,Xing,Kaleng, (695ml),PT CITRA GOURMAND PRIMA, Kota Jakarta Utara, DKI Jakarta
MD 268313011261,Minuman Teh Hitam Rasa Melati,fresaicon,Botol Plastik, (260ml; 350ml),PT SYNERGY BEVERAGE INDONESIA, Kota Surabaya, Jawa Timur
MD 268328005095,Minuman Teh Hijau Melati,AJE BIG,Botol Plastik, (350ml; 500ml),PT AJEINDONESIA, Kab. Bekasi, Jawa Barat
MD 268328006095,Minuman Teh Hijau Rasa Apel,AJE BIG,Botol Plastik, (350ml; 500ml),PT AJEINDONESIA, Kab. Bekasi, Jawa Barat
MD 268310003439,Minuman Teh Rasa Apel,POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268310020250,Minuman Teh Rasa Madu,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
ML 568309298000,Minuman Teh Hijau Rasa Raspberry,Xing,Kaleng, (695ml),PT CITRA GOURMAND PRIMA, Kota Jakarta Utara, DKI Jakarta
MD 268310038032,Minuman Teh Rasa Apel,FRESTEA,Gelas Plastik, (296ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310002364,Minuman Teh Beraroma Melati,Unitea,Botol Plastik, (450ml),PT Gunawan Indo Sejahtera, Kota Jakarta Barat, DKI Jakarta
MD 268302021013,Minuman Teh Melati,S-tee,Gelas Plastik, (180ml; 214ml; 240ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313024034,Minuman Teh Melati,S-tee,Gelas Plastik, (180ml; 214ml; 240ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 266513012033,Minuman Teh Berkarbonasi Rasa Mix Fruit,TEBS,Botol Plastik, (300ml; 500ml; 1500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310039032,Minuman Teh Rasa Markisa,FRESTEA,Gelas Plastik, (296ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268311015062,Minuman Teh Hijau,Seduh Segar,Gelas Plastik, (180ml; 200ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
ML 568309287000,Minuman Teh Hijau Rasa Persik,Xing,Kaleng, (695ml),PT CITRA GOURMAND PRIMA, Kota Jakarta Utara, DKI Jakarta
ML 568309286000,Minuman Teh Hijau Rasa Mangga,Xing,Kaleng, (695ml),PT CITRA GOURMAND PRIMA, Kota Jakarta Utara, DKI Jakarta
ML 568309288000,Minuman Teh (Plain Green & Black Tea),Xing,Kaleng, (695ml),PT CITRA GOURMAND PRIMA, Kota Jakarta Utara, DKI Jakarta
MD 268310001439,Minuman Teh Wangi Melati,POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268310002439,Minuman Teh Oolong,POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268328003095,Minuman Teh Hijau Rasa Lemon,AJE BIG,Botol Plastik, (350ml; 500ml),PT AJEINDONESIA, Kab. Bekasi, Jawa Barat
MD 468302020013,Minuman Teh Rasa Stroberi Anggur Sensasi Dingin,SOSRO,Tetrapak, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168306010016,Minuman Teh Melati,SOSRO,Botol Kaca, (220ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310016250,Minuman Teh Beraroma Melati,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310015250,Minuman Teh Beraroma Melati,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268303014007,Minuman Teh,AICO,Gelas Plastik, (150ml; 220ml),PT BUMI SARIMAS INDONESIA, Kab. Padang Pariaman, Sumatera Barat
ML 568309280000,Minuman Teh Hijau Rasa Blueberi,Xing ,Kaleng, (695ml),PT CITRA GOURMAND PRIMA, Kota Jakarta Utara, DKI Jakarta
MD 268310013250,Minuman Teh Beraroma Melati,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310014250,Minuman Teh Beraroma Melati,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310012250,Minuman Teh Beraroma Melati,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
ML 568309274000,Minuman Teh Rasa Lemon (Half & Half),Xing,Kaleng, (695ml),PT CITRA GOURMAND PRIMA, Kota Jakarta Utara, DKI Jakarta
MD 268310010250,Minuman Teh Beraroma Melati,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268313003045,Minuman Teh Ekstrak Mawar,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml. 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320008024,Minuman Teh Ekstrak Mawar,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310013243,Minuman Teh Ekstrak Mawar,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310023015,Minuman Teh Melati,S-tee,Gelas Plastik, (180ml; 214ml; 240ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 568309269000,Minuman Teh Hijau,Xing,Kaleng, (695ml),PT CITRA GOURMAND PRIMA, Kota Jakarta Utara, DKI Jakarta
MD 266610034019,Minuman Teh Hijau Rasa Apel,C2,Botol Plastik, (360ml),PT URC INDONESIA, Kab. Bekasi, Jawa Barat
MD 268331015041,Minuman Teh dengan Ekstrak Mawar,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306008025,Minuman Teh Ekstrak Mawar,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310019072,Minuman Teh Aroma Vanila,EXO,Gelas Plastik, (185ml),PT TANG MAS , Kota Depok, Jawa Barat
MD 868310023040,Minuman Teh Berperisa Lemon,TEKITA,Aluminium Foil, Karton (18.9 L),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 468313007155,Minuman Teh Melati,Calista,Tetrapak, (200ml; 250ml; 1000ml),PT BUANA TIRTA UTAMA, Kab. Gresik, Jawa Timur
MD 268310015072,Minuman Teh Hijau Aroma Melati,ZESTEA ,Botol Plastik, (350ml; 500ml),PT TANG MAS , Kota Depok, Jawa Barat
MD 268310038033,Minuman Teh Hijau,Nü,Plastik, (330ml; 450ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268310040033,Minuman Teh Hijau Beraroma Melati,Nü,Botol Plastik, (450ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 168311056028,Minuman Teh Melati,Indoteh,Botol Kaca, (215ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
MD 268310042033,Minuman Teh Hijau,Nü,Plastik, (450ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268313033006,Minuman Teh Hijau Dengan Madu,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268313032006,Minuman Teh Hitam Rasa Melati,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268313004401,Minuman Teh Rasa Lemon,Sunkist,Botol Plastik, (350ml; 450ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268313005401,Minuman Teh Rasa Persik,Sunkist,Botol Plastik, (350ml; 450ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268313006401,Minuman Teh Rasa Markisa,Sunkist,Botol Plastik, (350ml; 450ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268313007401,Minuman Teh Rasa Apel,Sunkist,Botol Plastik, (350ml; 450ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268310020208,Minuman Teh Hijau Rasa Melati,KIYORA,Botol Plastik, (450ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268313031006,Minuman Teh Hijau Rasa Melati,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 266510051014,Minuman Teh Berkarbonasi Rasa Rosella,TEBS,Botol Plastik, (500ml; 1500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 268309592008,Minuman Teh Dalam Kemasan (Oi Ocha Ryokucha Pet),ITO EN,Botol Plastik, (2000ml),PT MASUYA GRAHA TRIKENCANA, Kota Jakarta Utara, DKI Jakarta
MD 268320055006,Minuman Teh Rasa Blackcurrant,Mountea,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
ML 268309717014,MINUMAN TEH HIJAU (GREEN TEA DRINK),DONGWON,Botol Plastik, (175ml; 350ml; 500ml; 1500ml),PT KOIN BUMI, Kota Jakarta Selatan, DKI Jakarta
ML 268309585008,Minuman Teh Dalam Kemasan (Case Hanbaiyo Oi Ocha Ryokucha),ITO EN,Botol Plastik, (500ml),PT MASUYA GRAHA TRIKENCANA, Kota Jakarta Utara, DKI Jakarta
ML 268309242001,Minuman Teh Rasa Lemon Lime (Ice Tea Lemon Lime),PFANNER,Botol Plastik, (500ml; 1500ml),CV FERMANTO BEVFOODS, Kota Jakarta Pusat, DKI Jakarta
ML 268309243001,Minuman Teh Rasa Peach (Ice Tea Peach),PFANNER,Botol Plastik, (500ml; 1500ml),CV FERMANTO BEVFOODS, Kota Jakarta Pusat, DKI Jakarta
MD 268313003401,Minuman Teh Rasa Leci,Sunkist,Botol Plastik, (350ml; 450ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268320058006,Minuman Teh Rasa Lemon,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320057006,Minuman Teh Rasa Apel,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268313016010,Minuman Teh Berperisa Apel,SEHATEA,Gelas Plastik, (180ml),PT SEHAT SUKSES SEJAHTERA, Kota Mojokerto, Jawa Timur
MD 268320054006,Minuman Teh Rasa Jambu,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268310041033,Minuman Teh Hijau Rasa Madu,Nü,Botol Plastik, (450ml) ,PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
MD 268310023032,Minuman Teh Rasa Lemon,FRESTEA,Botol Plastik, (350ml; 500ml; 900ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268320061006,Minuman Teh Rasa Lemon,Mountea,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320059006,Minuman Teh Rasa Lemon,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320048006,Minuman Teh Rasa Jambu,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320062006,Minuman Teh Rasa Lemon,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320067006,Minuman Teh Rasa Lemon,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320069006,Minuman Teh Rasa Lemon,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320063006,Minuman Teh Rasa Lemon,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320047006,Minuman Teh Rasa Apel,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268310020015,Minuman Teh Beraroma Melati,Freso,Gelas Plastik, (180ml; 214ml; 240ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268302018013,Minuman Teh Beraroma Melati,Freso,Gelas Plastik, (180ml; 214ml; 240ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313022034,Minuman Teh Beraroma Melati,Freso,Gelas Plastik, (180ml; 214ml; 240ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310004377,Minuman Teh Dalam Kemasan,Srie,Gelas Plastik, (115ml),PT SINAR TIRTANA INTAN PERMATA, Kab. Bandung, Jawa Barat
MD 268313012261,Minuman Teh Rasa Leci,FRESAICON,Botol Plastik, (260ml; 325ml),PT SYNERGY BEVERAGE INDONESIA, Kota Surabaya, Jawa Timur
MD 268310002377,Minuman Teh Dalam kemasan,Royal,Gelas Plastik, (200ml; 240ml),PT SINAR TIRTANA INTAN PERMATA, Kab. Bandung, Jawa Barat
MD 268320013014,Minuman Teh Berperisa Susu,Jizzy,Gelas Plastik, (170ml),PT Mallo Food Makassar, Kota Makassar, Sulawesi Selatan
MD 668322014001,Minuman Teh Melati,SOSRO,Pouch Aluminium Foil, (150ml; 230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310001377,Minuman Teh Dalam kemasan,Raos,Gelas Plastik, (200ml; 240ml),PT SINAR TIRTANA INTAN PERMATA, Kab. Bandung, Jawa Barat
MD 468310028014,Minuman Teh Melati,SOSRO,Tetrapak, (200ml; 250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313027006,Minuman Teh Berperisa Leci,Serrr,Gelas Plastik, (200ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268320012014,Minuman Teh Rasa Manis,moli moli,Gelas Plastik, (180ml),PT Mallo Food Makassar, Kota Makassar, Sulawesi Selatan
MD 268310018208,Minuman Teh Susu Rasa Stroberi,Kiyora,Botol Plastik, (300ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
ML 268309056572,Konsentrat Minuman Teh (Chai Tea Concentrate),CARIBOU,Botol Plastik, (1.86 L),PT AROMA PARAMA VISESA, Kota Jakarta Timur, DKI Jakarta
MD 268320039006,Minuman Teh Rasa Apel,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320045006,Minuman Teh Rasa Jambu,MOUNTEA,Gelas Plastik, (150ml; 180ml ;dan 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan
MD 268320052006,Minuman Teh Rasa Apel,Mountea,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320044006,Minuman Teh Rasa Blackcurrant,MOUNTEA,Gelas Plastik, (150ml; 180ml;  300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320049006,Minuman Teh Rasa Blackcurrant,MOUNTEA,Gelas Plastik,  (150ml; 180ml;  300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
ML 268309072131,Minuman Teh Susu Rasa Original (Milk Tea Original Flavor),KAISI-SELECTION,Botol Plastik, (500ml),FA. Salim Trading Co, Kota Jakarta Utara, DKI Jakarta
ML 268309073131,Minuman Teh Susu Rasa Karamel (Milk Tea Caramel Flavor),KAISI-SELECTION,Botol Plastik, (500ml),FA. Salim Trading Co, Kota Jakarta Utara, DKI Jakarta
MD 268320042006,Minuman Teh Rasa Jambu,Mountea,Gelas Plastik, (150ml; 180ml;  300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320041006,Minuman Teh Rasa Jambu,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320038006,Minuman Teh Rasa Jambu,MOUNTEA,Gelas Plastik, (150ml; 180ml;  300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
ML 268309134099,Minuman teh rasa susu (Afternoon Milk Tea),KIRIN,Botol Plastik, (1500ml),PT INDOMARU LESTARI, Kota Jakarta Barat, DKI Jakarta
MD 268310005208,Minuman Teh Hijau Matcha   Susu,KIYORA,Botol Plastik,  (300ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268320056006,Minuman Teh Rasa Jambu,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320053006,Minuman Teh Rasa Blackcurrant,Mountea,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 468313021034,Minuman Teh Melati,S-tee,Tetrapak, (330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310047014,Minuman Teh Melati,S-tee,Tetrapak, (330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268320040006,Minuman Teh Rasa Blackcurrant,MOUNTEA,Gelas Plastik, (150ml; 180ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 468310019015,Minuman Teh Melati,S-tee,Tetrapak, (330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310015208,Minuman Teh Susu Rasa Kacang Hazel,KIYORA,Botol Plastik, (300ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
ML 268309010136,Minuman Teh (Liang Teh),Yen Yen,Botol Plastik, (400ml),PT ATRI DISTRIBUSINDO, Kota Jakarta Barat, DKI Jakarta
MD 268320043006,Minuman Teh Rasa Apel,MOUNTEA,Gelas Plastik, (150ml; 180ml;  300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
ML 268309190099,Minuman Teh Hijau (Nama Cha),KIRIN,Botol Plastik,  (500ml),PT INDOMARU LESTARI, Kota Jakarta Barat, DKI Jakarta
MD 268316001015,Minuman Teh dalam Kemasan,TWA,Gelas Plastik, (190ml),PT PULAU BARU MAKMUR, Kab. Banjar, Kalimantan Selatan
MD 268331018053,Minuman Teh Hijau Aroma Melati,AMANTEA,Gelas Plastik, (210ml),PT AMANAH PRIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268320068006,Minuman Teh Rasa Mangga,MOUNTEA,Gelas Plastik, (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268331089023,Minuman Teh Melati,DOLPHIN,Plastik, (175ml; 180ml; 185ml; 200ml; 240ml),PT DOLPHIN FOOD & BEVERAGES INDUSTRY, Kab. Tangerang, Banten
MD 268313024006,Minuman Teh Putih Rasa Persik,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310017208,Minuman Teh Susu Rasa Kacang Hazel,KIYORA,Botol Plastik, (300ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268311008044,Minuman Teh Rasa Melati (Jasmine Tea),WOW,Botol Plastik, (330ml),PT LUMUTMAS INTERINDO, Kab. Tegal, Jawa Tengah
MD 268313022006,Minuman Teh Berperisa Persik,Serrr,Gelas Plastik, (200ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310016208,Minuman Teh Susu Rasa Stroberi,KIYORA,Botol Plastik,  (300ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
ML 568331091023,Minuman Teh Hijau Beraroma Melati,JJ ,Kaleng, (300ml),PT KAFINDO CITA RASA, Kab. Tangerang, Banten
MD 268311007044,Minuman Teh Rasa Melati (Jasmine Tea),WOW,Gelas Plastik, (200ml),PT LUMUTMAS INTERINDO, Kab. Tegal, Jawa Tengah
MD 268310046014,Minuman Teh Rasa Stroberi Anggur,SOSRO,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313006006,Minuman Teh Rasa Melati,SERRR,Gelas Plastik, (200ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310007250,Minuman Teh Rasa Madu,Teheco,Botol Plastik, (330ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 168311049028,Minuman Teh Hijau Berperisa Apel,Indoteh Fruits,Botol Kaca, (215ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
MD 268310079047,Minuman Teh Hijau Rasa Madu Mint,S-tee,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168311048028,Minuman Teh Hijau Berperisa Jambu Biji,Indoteh Fruits,Botol Kaca, (215ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
ML 568302132235,Minuman Teh Hijau (Your Green Tea),SANGARIA,Kaleng, (340ml),CV Sun Fortuna, Kota Medan, Sumatera Utara
MD 268310074047,Minuman Teh Hijau Rasa Madu Lemon,S-tee,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310068047,Minuman Teh Hijau Aroma Melati,S-tee,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313018006,Minuman Teh Hitam Rasa Earl Grey,Fiesta,Botol Plastik, 350ml,PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268320066006,Minuman Teh Rasa Mangga,Mountea,Gelas Plastik, (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268313016006,Minuman Teh Hitam Rasa English Breakfast,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
ML 568302127235,Minuman Teh Hijau (Tasty Green Tea),Sangaria,Kaleng, (340ml),CV Sun Fortuna, Kota Medan, Sumatera Utara
MD 268311010021,Minuman Teh Melati,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168311046028,Minuman Teh,Indoteh Crown,Botol Kaca, (220ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
MD 268310012243,Minuman Teh - Original Tea,Teh Gelas,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 268309076055,Minuman Teh Dengan Susu,POKKA,Botol Plastik, (500ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 168311047028,Minuman Teh Hijau Berperisa Blackcurrant,Indoteh Fruits,Botol Kaca, (215ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
ML 568301008385,Minuman Teh Rasa Persik (Ice Peach Tea),F&N SEASONS,Kaleng, (300ml),PT RIZKI REZI UTAMA, Kota Banda Aceh, Aceh
MD 168302015013,Minuman Teh Melati,SOSRO,Botol Kaca, (220ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 266513019033,Minuman Teh Berkarbonasi Rasa Rosella,TEBS,Botol Plastik, (500ml; 1500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310022328,Minuman Teh ,OBLADA ,Gelas Plastik, (180ml; 220ml; 240ml),PT MITRA ALAM BANDUNG, Kota Bandung, Jawa Barat
MD 268320065006,Minuman Teh Rasa Mangga,MOUNTEA,Gelas Plastik, (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320064006,Minuman Teh Rasa Mangga,MOUNTEA,Gelas Plastik, (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 668322011001,Minuman Teh rasa Blackcurrant,SOSRO,Pouch Aluminium Foil, (230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310004207,Minuman Teh Rasa Melati,Maidola,Plastik, (220ml),PT PATNA LESTARI, Kab. Subang, Jawa Barat
MD 268310014208,Minuman Teh Putih Rasa Melati,Fiesta,Botol Plastik, (450ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268320050006,Minuman Teh Rasa Sirsak,MOUNTEA,Gelas Plastik, (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268331229020,Minuman Teh Hijau Rasa Madu,SISRI,Botol Plastik, (350ml; 500ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
